variant,conn,tcp_hs,tcp_tls,tls_hs,tls_app,app_resp
hybrid,179,1.461,2.993,3.791,0.107,0.976
hybrid,180,1.167,3.865,5.043,0.144,0.699
hybrid,181,1.042,3.905,5.474,0.133,0.735
hybrid,182,1.053,3.907,4.843,0.154,0.899
hybrid,183,1.011,4.042,4.294,0.131,0.724
hybrid,184,0.964,2.935,3.909,0.103,0.663
hybrid,185,0.954,3.926,4.34,0.138,0.69
hybrid,186,1.085,3.171,4.775,0.121,0.682
hybrid,187,1.061,3.541,5.912,0.149,1.866
hybrid,188,1.065,3.988,5.459,0.129,0.718
hybrid,189,0.96,3.602,4.986,0.145,0.81
hybrid,190,0.98,4.401,4.759,0.128,0.57
hybrid,191,0.974,3.105,4.151,0.138,0.674
hybrid,192,1.012,3.976,4.267,0.141,0.677
hybrid,193,0.845,3.921,5.057,0.123,0.614
hybrid,194,0.801,4.041,4.25,0.161,0.535
hybrid,195,0.86,3.114,4.58,0.145,0.524
hybrid,196,0.869,2.822,3.95,0.123,0.598
hybrid,197,0.853,3.971,4.357,0.556,0.377
hybrid,198,0.862,3.872,4.798,0.141,0.625
hybrid,199,1.08,4.902,6.514,0.217,0.744
hybrid,200,0.947,3.236,5.563,0.174,1.709
